idDatosGrasas,Aceite Base,Espesante,Grado NLGI Consistencia,Viscosidad del Aceite Base a 40°C. cSt,"Penetración de Cono a 25°C, 0.1mm","Punto de Gota, °C","Estabilidad Mecánica, %","Punto de Soldadura Cuatro Bolas, kgf","Desgaste Cuatro Bolas, mm","Carga Timken Ok, lb","Resistencia al Lavado por Agua a 80°C, %",Factor de Velocidad,"Temperatura de Servicio °C, min","Temperatura de Servicio °C, max",descripcion,color,textura
13,2,0,3.0,439.36905619377507,332.140815790164,295.0445318195665,0.8018716860063514,532.3783979762652,-99.0,60.65273715029341,0.4034549845160891,-99.0,-21.43210646016632,192.99600313287593,"El producto es una grasa lubricante de servicio pesado, espesada con un novedoso jabÃ³n de complejo sulfonato de calcio que por su naturaleza es altamente resistente a la oxidaciÃ³n, la corrosiÃ³n y al lavado por agua, posee excelentes propiedades de lubricaciÃ³n en condiciones de cargas severas y de extrema presiÃ³n, junto con su propiedad de sellar eficazmente contra influencias ambientales y en especial del agua.",3,0
29,1,0,1.0,2988.606669926271,372.553219956252,141.39766149672272,1.7165512910643028,654.3313266998229,0.45,63.74636950324556,-99.0,-99.0,-5.459757193648808,142.72622470940956,"El producto es un lubricante especial para sistemas de engranajes abiertos sujetos a grandes presiones en aplicaciones de minerÃ­a.
EstÃ¡ formulado con una mezcla de bÃ¡sicos de alta viscosidad, aditivos de adherencia asÃ­ como de extrema presiÃ³n, antidesgaste, y anti-corrosivos que proveen una pelÃ­cula lubricante de gran polaridad que previene el contacto entre las superficies de los dientes evitando asÃ­ el desgaste y aportando alta resistencia a las condiciones medioambientales. ",1,3
51,0,6,1.5,242.90451087097114,303.48022753423083,308.00945852024057,8.33844647863785,336.46233295535706,0.5,42.557264563568864,3.0924378486854183,778144.7683699554,-4.997706004098053,165.21567381948373,"El producto es una grasa lubricante para aplicaciones generales en la industria alimenticia.
El producto estÃ¡ aprobada por NSF como lubricante tipo H1 para contacto incidental con alimentos.",5,0
8,1,0,2.5,787.0466106461198,364.07048457619095,303.1239313658998,1.6936442578590318,955.8040644069192,0.5,66.07436697059165,-99.0,286761.68443090096,-27.60416872813639,147.36513961103563,"El producto es una grasa lubricante de gran adherencia y consistencia, con excelente resistencia al lavado de agua y alto soporte de carga extrema.
La composiciÃ³n de los aceites y la base de jabÃ³n complejo sulfonato de calcio proporciona excelente protecciÃ³n anti-desgaste, alto soporte de carga extrema, protecciÃ³n anti-corrosiva en medios quÃ­micamente agresivos, asÃ­ como una excelente estabilidad mecÃ¡nica, contiene 5% de lubricantes sÃ³lidos para brindar una mayor resistencia a la pelÃ­cula lubricante en condiciones extremas.",1,1
5,1,1,3.0,604.5608763588425,303.5106735866638,256.5148056021365,6.148642946432575,614.2633371085317,0.48,46.86468812352729,1.386026356690459,-99.0,-5.044789441439274,151.55369306213464,"El producto es un grasa lubricante con propiedades especiales de gran adhesiÃ³n y elevado soporte a cargas extremas, esta elaborada a base de aceites minerales altamente refinados espesados con un agente complejo de Aluminio-Poliurea, asÃ­ como una excelente estabilidad mecÃ¡nica, contiene 5% de lubricantes sÃ³lidos para brindar una mayor resistencia a la pelÃ­cula lubricante en condiciones extremas.",1,1
30,1,1,2.5,745.3847271795752,313.42531772644,266.4939725201371,6.980123359310451,573.8045066975657,0.48,46.90136966176008,1.3913826040462003,193490.70576456728,-9.432315031843249,153.0638465055513,"El producto es un grasa lubricante con propiedades especiales de gran adhesiÃ³n y elevado soporte a cargas extremas, esta elaborada a base de aceites minerales altamente refinados espesados con un agente complejo de Aluminio-Poliurea.
Por sus caracterÃ­sticas es ideal para la lubricaciÃ³n de mecanismos que operan en velocidades bajas, ademÃ¡s proporciona excelentes propiedades de sellado contra los medios hÃºmedos y contaminantes agresivos como sustancias alcalinas y acidas.",4,1
13,2,0,2.5,428.1429046560519,313.146735080668,302.34344479603357,0.7402215197415863,464.2555644504642,-99.0,58.434540892979996,0.38980999298327046,-99.0,-19.805447197325293,192.18948595220698,"El producto es una grasa lubricante de servicio pesado, espesada con un novedoso jabÃ³n de complejo sulfonato de calcio que por su naturaleza es altamente resistente a la oxidaciÃ³n, la corrosiÃ³n y al lavado por agua, posee excelentes propiedades de lubricaciÃ³n en condiciones de cargas severas y de extrema presiÃ³n, junto con su propiedad de sellar eficazmente contra influencias ambientales y en especial del agua.",3,0
21,3,2,1.0,239.17204358141632,461.1585610729987,112.06949840270391,-99.0,298.66050625684557,-99.0,40.0,-99.0,310356.0226336586,-4.602590890878753,152.95241098769264,"El producto es una grasa lubricante para aplicaciones generales en la industria alimenticia, es resistente a condiciones de humedad, vapores y desinfectantes utilizados en estas industrias.
El producto estÃ¡ aprobada por NSF como lubricante tipo H1 para contacto incidental con alimentos.",5,0
41,1,0,1.0,1511.3832613207474,299.54320431654554,311.65351954121167,0.9585238658622167,653.50848398835,0.45,63.9092692463157,0.29155046550842545,194315.29307542677,-5.040987348388686,195.09201486322985,"El producto es una grasa lubricante de servicio pesado, espesada con complejo sulfonato de calcio el cual por su naturaleza le provee una extraordinaria resistencia tÃ©rmica y antioxidante. Su configuraciÃ³n de aditivos le permite mantener una excelente lubricidad y soporte de carga extrema en condiciones criticas de temperatura.
Posee excelentes propiedades sellantes y de resistencia a medios agresivos como emulsiones de aceite, mantiene una protecciÃ³n anticorrosiva y caracterÃ­sticas de soporte de carga y anti-desgaste excep-cionales. ",2,1
35,3,5,1.5,130.76251025500136,380.24559886619045,234.89294709701306,10.8041554374136,338.1982096693112,-99.0,47.029763971302216,-99.0,416955.0520317507,-13.964521513329034,115.10163646970516,"El producto es una grasa lubricante para aplicaciones donde los requerimientos tÃ©cnicos exigen un rendimiento de larga duraciÃ³n, estÃ¡n elaboradas a base de aceites minerales de alta refinaciÃ³n, espesados con un agente especial a base de poliurea compleja y aditivada con un conjunto de componentes que aportan gran rendimiento en condiciones de oxidaciÃ³n, corrosiÃ³n y carga, logrando con ello excelentes propiedades lubricantes para mÃºltiples aplicaciones.",4,0
48,4,-99,2.5,44.962695138881124,283.11838428820346,237.22306854185535,13.994663862380609,250.5830887999657,-99.0,40.0,4.0156561336053445,1025162.4875502842,-9.503587946452845,159.35256862102608,"El producto es una grasa lubricante para aplicaciones de alta velocidad en la industria alimenticia, es resistente a condiciones de humedad, vapores y desinfectantes utilizados en la industria alimenticia.
Los ingredientes con los que se utilizan en su elaboraciÃ³n cumplen con las especificaciones marcadas por la FDA como lubricante para contacto accidental con alimentos segÃºn CFR (Code of Federal Regulations, 21 Parts 170-19 Food additives and related regulations). ",5,0
36,3,5,1.0,121.93675225975761,307.64971840067767,237.23707038739386,6.599524550667801,290.8919947390051,-99.0,45.15012522555245,2.600746563072582,402498.3915120623,-13.965343724747216,104.50644518210854,"El producto es una grasa lubricante para aplicaciones donde los requerimientos tÃ©cnicos exigen un rendimiento de larga duraciÃ³n, estÃ¡n elaboradas a base de aceites minerales de alta refinaciÃ³n, espesados con un agente especial a base de poliurea compleja y aditivada con un conjunto de componentes que aportan gran rendimiento en condiciones de oxidaciÃ³n, corrosiÃ³n y carga, logrando con ello excelentes propiedades lubricantes para mÃºltiples aplicaciones.",4,0
48,4,-99,0.0,42.32882107689511,278.26519241803015,236.289656661962,13.480894652908042,258.11318970687694,-99.0,40.05435447337335,3.8573024291065425,1022497.5780384094,-9.33985333858235,162.4615356932719,"El producto es una grasa lubricante para aplicaciones de alta velocidad en la industria alimenticia, es resistente a condiciones de humedad, vapores y desinfectantes utilizados en la industria alimenticia.
Los ingredientes con los que se utilizan en su elaboraciÃ³n cumplen con las especificaciones marcadas por la FDA como lubricante para contacto accidental con alimentos segÃºn CFR (Code of Federal Regulations, 21 Parts 170-19 Food additives and related regulations). ",5,0
18,-99,3,2.0,691.1950679619906,280.12822658878383,9747.876070361855,7.966583194162666,816.195621777346,-99.0,-99.0,5.23238538784089,-99.0,5.314922260550899,213.90511964662684,"El producto es una grasa lubricante que posee excelentes propiedades de lubricaciÃ³n en condiciones de alta temperatura y extrema presiÃ³n.
Especialmente diseÃ±ada para soportar condiciones de alta fricciÃ³n y temperatura en las peletizadoras de madera, contiene un conjunto de aditivos y lubricantes sÃ³lidos que le permiten mantener condiciones lubricantes de emergencia bajo condiciones de carga, fricciÃ³n y vibraciÃ³n, es altamente estable a la temperatura no perdiendo su estructura con los cambios.",4,1
32,1,1,1.5,627.9610461334205,269.68284620332645,256.7599590176787,6.0859974147797535,648.2986206209583,0.48,47.865779103751386,1.5117734434723598,197245.88122377024,-5.461740109205029,156.15262195675803,"El producto es un grasa lubricante con propiedades especiales de gran adhesiÃ³n y elevado soporte a cargas extremas, esta elaborada a base de aceites minerales altamente refinados espesados con un agente complejo de Aluminio-Poliurea.
Por sus caracterÃ­sticas es ideal para la lubricaciÃ³n de mecanismos que operan en velocidades bajas, ademÃ¡s proporciona excelentes propiedades de sellado contra los medios hÃºmedos y contaminantes agresivos como sustancias alcalinas y acidas.",4,1
42,1,0,1.0,1537.2534355221612,284.73323685619107,299.6962428565076,1.072069904980903,648.1395421633696,0.45,63.25187430636043,0.30822330423062094,203074.81464880254,-4.993459605629488,185.9584136493279,"El producto es una grasa lubricante de servicio pesado, espesada con complejo sulfonato de calcio el cual por su naturaleza le provee una extraordinaria resistencia tÃ©rmica y antioxidante. Su configuraciÃ³n de aditivos le permite mantener una excelente lubricidad y soporte de carga extrema en condiciones criticas de temperatura.
Posee excelentes propiedades sellantes y de resistencia a medios agresivos como emulsiones de aceite, mantiene una protecciÃ³n anticorrosiva y caracterÃ­sticas de soporte de carga y anti-desgaste excep-cionales. ",2,1
2,1,0,3.0,508.3756006419754,310.61969026244185,310.8672294158076,2.415724671630029,851.6917291839509,0.5,67.95382616437101,3.1173884844783597,302863.5489331835,-32.238257571190225,152.85817308245865,"El producto es una grasa lubricante de gran adherencia y consistencia, con excelente resistencia al lavado de agua y alto soporte de carga extrema.
La composiciÃ³n de los aceites y la base de jabÃ³n complejo sulfonato de calcio proporciona excelente protecciÃ³n anti-desgaste, alto soporte de carga extrema, protecciÃ³n anti-corrosiva en medios quÃ­micamente agresivos, asÃ­ como una excelente estabilidad mecÃ¡nica, contiene 5% de lubricantes sÃ³lidos para brindar una mayor resistencia a la pelÃ­cula lubricante en condiciones extremas.",1,1
34,3,5,3.0,109.07430275263752,395.1153448870432,190.27940932961718,11.347633104131248,321.2739520470162,-99.0,43.01094928960779,-99.0,418866.25870274176,-14.182078466205892,112.31166432184583,"El producto es una grasa lubricante para aplicaciones donde los requerimientos tÃ©cnicos exigen un rendimiento de larga duraciÃ³n, estÃ¡n elaboradas a base de aceites minerales de alta refinaciÃ³n, espesados con un agente especial a base de poliurea compleja y aditivada con un conjunto de componentes que aportan gran rendimiento en condiciones de oxidaciÃ³n, corrosiÃ³n y carga, logrando con ello excelentes propiedades lubricantes para mÃºltiples aplicaciones.",4,0
34,3,5,1.0,134.64128511605244,410.3324483756689,195.24451943937376,10.526790315931917,297.4029013801378,-99.0,46.750859748390006,-99.0,412229.9350058011,-14.671083265621895,114.65172750839916,"El producto es una grasa lubricante para aplicaciones donde los requerimientos tÃ©cnicos exigen un rendimiento de larga duraciÃ³n, estÃ¡n elaboradas a base de aceites minerales de alta refinaciÃ³n, espesados con un agente especial a base de poliurea compleja y aditivada con un conjunto de componentes que aportan gran rendimiento en condiciones de oxidaciÃ³n, corrosiÃ³n y carga, logrando con ello excelentes propiedades lubricantes para mÃºltiples aplicaciones.",4,0
20,1,4,1.5,363.7981785026903,288.6864553914721,236.73914105986614,-99.0,262.4476286253804,-99.0,-99.0,-99.0,-99.0,-27.190611020993344,157.1788110304063,"El producto  Grasa Lubricante con gran adherencia, excelente resistencia a la humedad, Extrema PresiÃ³n y temperaturas bajas y altas.
La composiciÃ³n de su aceite bÃ¡sico hidrotratado, espesante de complejo de litio  y aditivada con microparticulas que le proveen de mayor protecciÃ³n contra el desgaste, la corrosiÃ³n ademÃ¡s de excelente estabilidad al trabajo mecÃ¡nico.",6,1
45,5,4,0.0,202.90452816642775,307.5968451497218,280.8855764452534,4.6874470967784365,297.00692931605465,0.5,45.98593061339978,2.945895202267943,-99.0,-19.075189018649816,94.12781343248945,"El producto es una grasa formulada con aceite base mineral, un espesante de Complejo de Litio y aditivos seleccionados que  dan como resultado excelente estabilidad mecÃ¡nica,  tÃ©rmica y una lubricaciÃ³n de larga vida.
Mantiene protecciÃ³n anticorrosiva y caracterÃ­sticas de soporte de carga/anti-desgaste extraordinarias por largos periodos",4,4
46,5,4,0.0,208.98610644111963,272.26713610401725,273.2021582325995,5.018578730933127,326.6735273099028,0.5,45.67012358904984,2.9046386837768985,-99.0,-19.176432213945308,93.76526650450725,"El producto es una grasa formulada con aceite base mineral, un espesante de Complejo de Litio y aditivos seleccionados que  dan como resultado excelente estabilidad mecÃ¡nica,  tÃ©rmica y una lubricaciÃ³n de larga vida.
Mantiene protecciÃ³n anticorrosiva y caracterÃ­sticas de soporte de carga/anti-desgaste extraordinarias por largos periodos",4,4
38,3,5,2.5,103.84565994640586,279.8034655303757,228.86429062585322,4.913508449927652,290.3862521703076,-99.0,47.649100447667045,2.370854680900149,385611.96896203596,-14.956116011871156,106.64457044663533,"El producto es una grasa lubricante para aplicaciones donde los requerimientos tÃ©cnicos exigen un rendimiento de larga duraciÃ³n, estÃ¡n elaboradas a base de aceites minerales de alta refinaciÃ³n, espesados con un agente especial a base de poliurea compleja y aditivada con un conjunto de componentes que aportan gran rendimiento en condiciones de oxidaciÃ³n, corrosiÃ³n y carga, logrando con ello excelentes propiedades lubricantes para mÃºltiples aplicaciones.",4,0
15,3,0,3.0,736.4293543657354,276.04576855566603,292.48433509445124,8.590532665880836,297.2996688172535,-99.0,57.51987613695808,1.9441694153303724,-99.0,-14.077575590389197,148.74230853781802,"El producto es una grasa lubricante elaborada con una mezcla de bases minerales espesada con complejo sulfonato de calcio el cual por su naturaleza le provee una extraordinaria resistencia tÃ©rmica y antioxidante y con una configuraciÃ³n de aditivos anti-oxidantes, anti-corrosivos, anti-herrumbrantes, anti-desgaste y de extrema presiÃ³n que le permite mantener una excelente lubricidad y soporte de carga extrema en condiciones criticas.",4,1
17,4,2,2.5,549.6698673378891,281.74018125896225,258.4496836273449,4.2291046127343845,250.0,0.6,40.0,1.9293599785421447,360532.3395013434,-5.180870282659967,187.13067422621816,"El producto es una grasa lubricante formulada con una base altamente resistente a la humedad y medios quÃ­micos, comÃºnmente utilizados en la industria alimenticia, se recomienda para aplicaciones especiales y generales en la industria alimenticia, es resistente a altas temperaturas, condiciones de humedad, vapores y desinfectantes.
@El producto estÃ¡ aprobada por NSF como lubricante tipo H1 para contacto incidental con alimentos.",5,0
22,4,2,2.0,94.07157833826277,313.92528877174135,256.5196008001377,3.27572646672367,250.0,-99.0,40.0,3.1126297412681,895789.4237344277,-10.922143068530456,162.46999877661122,"El producto es una grasa lubricante para aplicaciones generales en la industria alimenticia,  resistente a condiciones de humedad, vapores y desinfectantes utilizados en la estas industrias.
El producto cumple con los lineamientos de la NSF (National Sanitation Foundation) como lubricante tipo H1 para contacto incidental con alimentos.",5,0
23,4,2,0.0,103.03119287927913,282.89784863789225,249.98127189492345,3.297453062535815,250.0,-99.0,41.58805574696846,3.0125853001023994,901255.4691019633,-10.958973366223761,158.95602887404107,"El producto es una grasa lubricante para aplicaciones generales en la industria alimenticia,  resistente a condiciones de humedad, vapores y desinfectantes utilizados en la estas industrias.
El producto cumple con los lineamientos de la NSF (National Sanitation Foundation) como lubricante tipo H1 para contacto incidental con alimentos.",5,0
42,1,0,3.0,1343.8253570223328,280.97746616602285,311.2638461896641,1.0157058732891069,623.8808585758794,0.45,60.81633815967206,0.3124195499013733,203204.98578761396,-5.176446737347709,180.82305328265036,"El producto es una grasa lubricante de servicio pesado, espesada con complejo sulfonato de calcio el cual por su naturaleza le provee una extraordinaria resistencia tÃ©rmica y antioxidante. Su configuraciÃ³n de aditivos le permite mantener una excelente lubricidad y soporte de carga extrema en condiciones criticas de temperatura.
Posee excelentes propiedades sellantes y de resistencia a medios agresivos como emulsiones de aceite, mantiene una protecciÃ³n anticorrosiva y caracterÃ­sticas de soporte de carga y anti-desgaste excep-cionales. ",2,1
26,4,-99,2.0,209.74131491095125,265.2231702049609,271.67727055721616,6.315448304111419,277.6459503385886,-99.0,40.51578774802395,2.527688787034808,334939.692499894,-4.550376272260145,160.35284381947037,"El producto es una grasa lubricante para aplicaciones en la industria alimenticia,  en donde se requiere una alta resistencia a condiciones de humedad, vapores Ã¡cidos y desinfectantes utilizados en la industria alimenticia.
Los componentes con los que se utilizan en su elaboraciÃ³n cumplen con las especificaciones marcadas por la FDA como lubricante para contacto accidental con alimentos segÃºn el CFR (Code of Federal Regulations, 21 Parts 170-19 Food additives and related regulations) .",7,0
26,4,-99,1.0,202.23867633089284,257.07214571225774,264.6667008535657,6.235250145077005,277.91726820567993,-99.0,41.452067322645796,2.53201226802229,357096.8814532818,-5.483582112636593,153.44395147567874,"El producto es una grasa lubricante para aplicaciones en la industria alimenticia,  en donde se requiere una alta resistencia a condiciones de humedad, vapores Ã¡cidos y desinfectantes utilizados en la industria alimenticia.
Los componentes con los que se utilizan en su elaboraciÃ³n cumplen con las especificaciones marcadas por la FDA como lubricante para contacto accidental con alimentos segÃºn el CFR (Code of Federal Regulations, 21 Parts 170-19 Food additives and related regulations) .",7,0
18,-99,3,0.0,770.5192106113045,284.6210311022083,9762.769671706837,8.098833456748746,762.4278802185846,-99.0,-99.0,4.788593797559619,-99.0,4.85784390179166,210.82816635268046,"El producto es una grasa lubricante que posee excelentes propiedades de lubricaciÃ³n en condiciones de alta temperatura y extrema presiÃ³n.
Especialmente diseÃ±ada para soportar condiciones de alta fricciÃ³n y temperatura en las peletizadoras de madera, contiene un conjunto de aditivos y lubricantes sÃ³lidos que le permiten mantener condiciones lubricantes de emergencia bajo condiciones de carga, fricciÃ³n y vibraciÃ³n, es altamente estable a la temperatura no perdiendo su estructura con los cambios.",4,1
19,-99,3,3.0,640.7990354829888,243.4295167606703,302.12657146001857,9.036197976516492,322.6783732208479,-99.0,40.29717982946468,5.143014096241092,-99.0,0.0,230.69847053210123,"El producto es una grasa lubricante que posee excelentes propiedades de lubricaciÃ³n en condiciones de alta temperatura asÃ­ como extrema presiÃ³n.
Especialmente diseÃ±ada para soportar condiciones de extrema temperatura por largos periodos en las cuales las grasas convencionales de jabÃ³n no son funcionales a 240ÂºC, es altamente estable a la temperatura no perdiendo su estructura con los cambios.",2,0
18,-99,3,2.5,660.6284216138788,272.36805745187485,9726.500696090065,7.84174759059016,804.2503436610748,-99.0,-99.0,5.1629568963498365,-99.0,4.91247052071143,216.45350968647548,"El producto es una grasa lubricante que posee excelentes propiedades de lubricaciÃ³n en condiciones de alta temperatura y extrema presiÃ³n.
Especialmente diseÃ±ada para soportar condiciones de alta fricciÃ³n y temperatura en las peletizadoras de madera, contiene un conjunto de aditivos y lubricantes sÃ³lidos que le permiten mantener condiciones lubricantes de emergencia bajo condiciones de carga, fricciÃ³n y vibraciÃ³n, es altamente estable a la temperatura no perdiendo su estructura con los cambios.",4,1
38,3,5,0.0,118.04694598247431,266.43926402694,237.30850977910748,5.242158816578674,318.2356707132676,-99.0,48.043011679871874,2.3177989507139842,392984.1922715975,-14.929117730837369,106.0690821760272,"El producto es una grasa lubricante para aplicaciones donde los requerimientos tÃ©cnicos exigen un rendimiento de larga duraciÃ³n, estÃ¡n elaboradas a base de aceites minerales de alta refinaciÃ³n, espesados con un agente especial a base de poliurea compleja y aditivada con un conjunto de componentes que aportan gran rendimiento en condiciones de oxidaciÃ³n, corrosiÃ³n y carga, logrando con ello excelentes propiedades lubricantes para mÃºltiples aplicaciones.",4,0
28,4,0,2.0,89.37381106189916,295.8941412395712,313.1069436474622,1.4632623311216955,516.0755318737366,0.35,42.55513808951469,0.0201662272286915,870158.9410617884,-4.603557230338614,179.48963873863494,"El producto es una grasa lubricante formulada con una base altamente resistente a la humedad y medios quÃ­micos comÃºn-mente utilizados en la industria alimenticia.
Se recomienda para aplicaciones especiales y generales en la industria alimenticia, resistente a altas temperaturas, condiciones de humedad, vapores y desinfectantes utilizados en la industria alimenticia.",4,0
7,1,2,2.0,3547.510318445515,332.0740372490293,287.0193145568045,-99.0,462.79105473609167,-99.0,40.0,-99.0,-99.0,-4.662572024742483,121.71789160211345,"El producto es una grasa especial para engranajes abiertos de baja velocidad lubricados por inmersiÃ³n o en forma manual, asÃ­ como para la lubricaciÃ³n y conservaciÃ³n de cables de grÃºas.
El producto estÃ¡ formulado con aceite bÃ¡sico de muy alta viscosidad, agentes espesantes de jabÃ³n de aluminio complejo para garantizar la polaridad hacia los metales y lubricantes sÃ³lidos de grafito micronizados para aumentar la capacidad de soporte de carga.",1,1
10,1,0,3.0,865.8809689681258,288.4573843491439,295.2843048713404,2.4065769082635295,944.9053009313824,0.5,71.3112783523316,2.915370987050902,307187.40867812734,-28.167917426807023,146.07863705707993,"El producto es una grasa lubricante de gran adherencia y consistencia, con excelente resistencia al lavado de agua y alto soporte de carga extrema.
La composiciÃ³n de los aceites y la base de jabÃ³n complejo sulfonato de calcio proporciona excelente protecciÃ³n anti-desgaste, alto soporte de carga extrema, protecciÃ³n anti-corrosiva en medios quÃ­micamente agresivos, asÃ­ como una excelente estabilidad mecÃ¡nica, contiene 5% de lubricantes sÃ³lidos para brindar una mayor resistencia a la pelÃ­cula lubricante en condiciones extremas.",1,1
34,3,5,1.0,112.28279957861237,412.75198673545975,191.10224250538343,11.471605266518928,326.00886327165034,-99.0,42.070258971579406,-99.0,410643.99282250565,-16.041396654032592,114.48073548682027,"El producto es una grasa lubricante para aplicaciones donde los requerimientos tÃ©cnicos exigen un rendimiento de larga duraciÃ³n, estÃ¡n elaboradas a base de aceites minerales de alta refinaciÃ³n, espesados con un agente especial a base de poliurea compleja y aditivada con un conjunto de componentes que aportan gran rendimiento en condiciones de oxidaciÃ³n, corrosiÃ³n y carga, logrando con ello excelentes propiedades lubricantes para mÃºltiples aplicaciones.",4,0
17,4,2,2.5,469.028439175505,285.5996592892227,255.86634923325948,4.192994153917589,255.5045658842573,0.6,40.9015651697835,2.0319606090651203,360391.6639119245,-5.0192033609744735,186.644636595852,"El producto es una grasa lubricante formulada con una base altamente resistente a la humedad y medios quÃ­micos, comÃºnmente utilizados en la industria alimenticia, se recomienda para aplicaciones especiales y generales en la industria alimenticia, es resistente a altas temperaturas, condiciones de humedad, vapores y desinfectantes.
@El producto estÃ¡ aprobada por NSF como lubricante tipo H1 para contacto incidental con alimentos.",5,0
4,1,0,2.5,204.81970233183281,268.8344190919543,307.2516841269084,4.869187526699016,538.4319379775312,0.45,-99.0,3.0591376371121624,-99.0,-14.587774581786116,151.91957265009196,"El producto es una grasa lubricante elaborada con una mezcla de bases minerales espesada con complejo sulfonato de calcio el cual por su naturaleza le provee una extraordinaria resistencia tÃ©rmica y antioxidante, con una configuraciÃ³n de aditivos anti-oxidantes, anti-corrosivos, anti-herrumbrantes, anti-desgaste y de extrema presiÃ³n que le permite mantener una excelente lubricidad y soporte de carga extrema en condiciones criticas.",2,0
43,-99,4,1.5,343.83704308520566,260.69756557394317,299.44929008186864,2.0614359948077237,879.1754457290895,0.4,60.365244078174825,1.2519007192021274,296244.84024924255,-15.204418161847915,146.9241661077962,"El producto es una grasa lubricante de gran adherencia y consistencia, con excelente resistencia al lavado de agua, alto soporte de carga extrema y lubricantes solidos.
Los aceites y la base de jabÃ³n complejo de litio especial proporciona una excelente estabilidad mecÃ¡nica y tÃ©rmica permitiendo trabajar bajo condiciones extremas de baja y alta temperatura. Su paquete de aditivos de extrema presiÃ³n y anti-desgaste le permiten soportar las cargas mÃ¡s extremas de equipos fuera de mina ademÃ¡s de proporcionar protecciÃ³n anticorrosiva tanto a aleaciones ferrosas como de cobre.
Contiene 5 % de lubricantes sÃ³lidos para brindar una mayor resistencia a la pelÃ­cula lubricante en condiciones extremas de vibraciÃ³n y carga.",1,0
17,4,2,2.5,534.4209690103047,277.7440445027989,265.5891247572093,3.997213986643134,250.0,0.6,40.0,2.0185181740679305,336018.4812967867,-5.363618661764338,187.80591135955734,"El producto es una grasa lubricante formulada con una base altamente resistente a la humedad y medios quÃ­micos, comÃºnmente utilizados en la industria alimenticia, se recomienda para aplicaciones especiales y generales en la industria alimenticia, es resistente a altas temperaturas, condiciones de humedad, vapores y desinfectantes.
@El producto estÃ¡ aprobada por NSF como lubricante tipo H1 para contacto incidental con alimentos.",5,0
47,4,-99,0.0,40.0,336.54842749269295,233.61409842055428,13.496572464331765,266.46658085695225,-99.0,40.0,3.9549006976681005,964778.655298837,-10.597290065495121,165.8067285798143,"El producto es una grasa lubricante para aplicaciones de alta velocidad en la industria alimenticia, es resistente a condiciones de humedad, vapores y desinfectantes utilizados en la industria alimenticia.
Los ingredientes con los que se utilizan en su elaboraciÃ³n cumplen con las especificaciones marcadas por la FDA como lubricante para contacto accidental con alimentos segÃºn CFR (Code of Federal Regulations, 21 Parts 170-19 Food additives and related regulations). ",5,0
48,4,-99,2.5,41.245230920251416,278.4113228139224,224.8305331834383,13.053369939384202,250.0,-99.0,40.0,4.182120005939377,960038.6977651546,-10.854066903063117,155.18555376283865,"El producto es una grasa lubricante para aplicaciones de alta velocidad en la industria alimenticia, es resistente a condiciones de humedad, vapores y desinfectantes utilizados en la industria alimenticia.
Los ingredientes con los que se utilizan en su elaboraciÃ³n cumplen con las especificaciones marcadas por la FDA como lubricante para contacto accidental con alimentos segÃºn CFR (Code of Federal Regulations, 21 Parts 170-19 Food additives and related regulations). ",5,0
49,4,-99,2.0,40.0,233.15126836189404,229.69408528869056,14.42880053899373,250.0,-99.0,40.0,4.186682272266355,892871.6084841931,-5.040688928645627,156.55136066893942,"El producto es una grasa lubricante para aplicaciones de alta velocidad en la industria alimenticia, es resistente a condiciones de humedad, vapores y desinfectantes utilizados en la industria alimenticia.
Los ingredientes con los que se utilizan en su elaboraciÃ³n cumplen con las especificaciones marcadas por la FDA como lubricante para contacto accidental con alimentos segÃºn CFR (Code of Federal Regulations, 21 Parts 170-19 Food additives and related regulations). ",5,0
18,-99,3,0.0,675.6582259192827,274.9196394828239,10086.91079071152,7.605977133547797,759.5377460408498,-99.0,-99.0,4.887070353022022,-99.0,4.5605637643032795,203.75846411011813,"El producto es una grasa lubricante que posee excelentes propiedades de lubricaciÃ³n en condiciones de alta temperatura y extrema presiÃ³n.
Especialmente diseÃ±ada para soportar condiciones de alta fricciÃ³n y temperatura en las peletizadoras de madera, contiene un conjunto de aditivos y lubricantes sÃ³lidos que le permiten mantener condiciones lubricantes de emergencia bajo condiciones de carga, fricciÃ³n y vibraciÃ³n, es altamente estable a la temperatura no perdiendo su estructura con los cambios.",4,1
1,0,0,2.0,660.9903341512133,269.57801483559405,312.170802509321,1.0581211599969227,530.3745981940228,-99.0,59.10735144151948,0.5908881349063336,192195.11760714612,4.858900498872042,217.88082334086874,"El producto es grasa lubricante de servicio pesado, espesada con jabÃ³n complejo sulfonato de calcio que por su naturaleza es altamente resistente a la oxidaciÃ³n, la corrosiÃ³n y al lavado por agua.
El producto posee excelentes propiedades sellantes, de resistencia a la humedad, mantiene alta protecciÃ³n anticorrosiva y caracterÃ­sticas de soporte de carga/anti-desgaste excepcionales. ",0,0
